ADP,ADAT,AZT,AAS,AHWVC,DPDAT,DPZT,DPAS,DPHWVC,DATZT,DATAS,DATHWVC,ZTAS,ZTHWVC,ASHWVC
0.484122245,-0.051271178,-0.123454094,-0.26475028,0.0070399,-0.05423586,-0.039538112,0.6337086,0.075003076,0.632162723,-0.009877755,0.817141044,0.016151345,0.498867146,0.104900595
0.657393838,-0.177701831,-0.196819782,0.058515231,0.480956992,-0.149595716,-0.243951059,0.543079307,0.806573065,0.230813213,-0.053327208,-0.099415695,-0.262999567,-0.101052429,0.26305837
0.606074085,-0.080527457,0.097090086,0.062468985,0.042067642,-0.117673518,-0.035391306,0.6660748,0.002573501,0.66196945,0.007650833,0.707665789,0.025286804,0.678959473,0.00488643
0.756773128,-0.149127033,-0.134762753,0.567183422,-0.102739783,-0.194321861,-0.115411545,0.837314794,-0.141912183,0.666328999,-0.155861203,0.77117977,-0.067977037,0.4194463,-0.130530863
0.768962188,-0.155455857,-0.345206711,0.664272329,-0.16010225,-0.172503039,-0.301774073,0.791801949,-0.128376058,0.334083131,-0.129222315,0.792099766,-0.337784836,0.28863586,-0.133566457
0.963269914,-0.487856986,-0.476206893,0.959121144,-0.494790161,-0.422640663,-0.399030394,0.957100263,-0.426043501,0.880191478,-0.500187538,0.976710252,-0.479770999,0.892053296,-0.514428782
0.574059249,-0.074344576,-0.049541211,-0.139597968,0.153543156,-0.129456183,-0.06098336,0.617361496,0.041676948,0.235208007,-0.064673698,0.523547685,-0.030423019,-0.346142837,0.067606162
0.888532315,0.436496799,-0.531709783,0.860098941,0.744847262,0.366655736,-0.480971426,0.868501707,0.687935249,-0.126495503,0.47597671,0.717065154,-0.571864489,-0.656052137,0.784956365
0.68308106,0.013254749,-0.056076476,-0.005618488,0.195892406,-0.088495487,-0.067803174,0.618311896,0.090785084,0.159289755,-0.025694851,0.670900247,0.008241973,-0.430550699,0.097432438
0.920706994,-0.29638644,0.479966085,0.956248016,0.070171606,-0.203584226,0.577920454,0.950409947,0.152859724,0.01486979,-0.248013965,-0.009168188,0.571893714,0.052048407,0.063237443
0.37897727,-0.387161933,-0.07032527,-0.594087925,0.284361967,-0.089601661,0.006358873,0.266907285,0.852752036,-0.043731961,0.174779967,-0.082877879,0.012819989,0.030729685,0.134484503
0.697915272,-0.179663274,-0.035947604,0.225464249,0.326874609,0.015017695,0.047116999,0.74013707,0.777136041,-0.086872226,0.012213942,-0.024612414,-0.037277214,0.018037203,0.750965625
0.708889212,-0.065200624,-0.023694994,0.546848467,-0.050326272,0.096551102,0.093727286,0.822549443,0.106207782,0.869123651,0.02907297,0.946392615,0.040648931,0.80505137,0.049994198
0.720964763,-0.035698859,-0.111601046,0.571448954,0.330825102,-0.12954409,-0.089546159,0.818435921,0.124467657,0.215677921,-0.073188271,0.431304562,-0.042554078,-0.406409942,0.301485751
0.770792424,-0.198815011,0.130074011,0.84297732,0.208492231,-0.078286734,0.19065771,0.842948773,0.42155825,0.275347518,-0.128406326,-0.03596564,0.234431556,0.025640659,0.241883648
0.750429558,-0.231966606,-0.026076593,0.516705071,0.349886373,-0.058296693,0.028660695,0.92508435,0.679554536,0.21516503,-0.015648598,0.001772426,0.028282943,0.023436711,0.689883643
0.210576569,-0.073838513,-0.053692823,0.58446118,0.078691962,0.12095047,0.209849812,0.660609283,0.058446601,-0.079254758,-0.004642428,0.464539362,0.031020224,-0.431485167,0.114015218
