,ADP,ADAT,AZT,AAS,AHWVC,DPDAT,DPZT,DPAS,DPHWVC,DATZT,DATAS,DATHWVC,ZTAS,ZTHWVC,ASHWVC
22,0.265421139,-0.180711673,0.203932467,0.182936689,-0.08513102,0.14573373,0.243952904,0.133255476,0.262847453,0.479269449,-0.102592399,0.80972893,0.131347526,0.488229588,-0.124457054
23,0.907858387,-0.388782864,0.710789409,0.914955381,0.041522083,-0.290615222,0.700879528,0.897618495,0.041673257,-0.083043814,-0.321317791,-0.031906695,0.765780656,0.023038726,0.043033142
24,0.024107802,-0.182301759,0.101109187,0.05873808,-0.091591896,0.2041185,0.103480048,0.05889175,-0.040289947,0.278409553,-0.058840391,0.271030579,-0.039304202,-0.558492581,0.056889236
25,-0.089043791,-0.134124245,0.122059698,0.126250725,-0.168937285,0.192259489,-0.007306491,0.077491384,0.073469785,-0.270841424,-0.029097203,0.75648118,0.168413783,-0.729899299,-0.113240112
26,0.785872613,-0.221417236,-0.448035338,0.665410235,0.671012602,-0.091356418,-0.471400584,0.684289329,0.683361773,0.173248626,-0.037161271,-0.036619153,-0.608802785,-0.62323957,0.960386014
27,0.629325416,-0.181918422,0,0.041522082,0.041522082,-0.196289356,0,0.042282359,0.042282359,0,-0.035280515,-0.035280515,0,0,1
28,0.567817268,-0.253303472,0.080352535,-0.052491315,-0.234298768,-0.381613538,0.039526993,-0.000188748,-0.290333427,-0.068844219,-0.029311265,0.803774021,0.029196677,-0.491210518,-0.040831285
29,-0.203269024,-0.265746266,-0.058539776,0.082983785,-0.076484065,0.017427506,-0.043146647,0.083280738,-0.013301963,0.129657298,0.019488783,0.794944155,-0.008113112,-0.230432546,0.082904045
30,0.301334225,-0.276797851,-0.087137463,-0.052460875,-0.162381077,-0.339132654,-0.160720412,-0.000253608,-0.16725435,0.254767363,-0.07191581,0.857642524,0.037097791,-0.004111771,-0.045372725
31,0.338006269,-0.085659375,0.117886005,-0.026131562,-0.028701658,0.014856975,-0.091180638,0.026962671,0.095200193,0.1499645,-0.053624522,0.853198623,0.026735008,-0.166316915,-0.025562929
32,0.546874751,-0.140089171,-0.00762973,-0.026192465,0.054570823,-0.228036419,-0.20434509,0.000223418,0.138592593,0.184633303,0.003474941,0.029644792,0.031730336,-0.631380478,0.001152121
33,0.943638596,-0.007474994,0.612915229,0.963120922,0.041473886,0.010168995,0.625041123,0.951590135,0.041649823,0.168494375,0.017824951,-0.039955665,0.680223341,0.00951927,0.041678201
34,0.031485935,-0.004320619,0.035139296,-0.087548175,-0.07871789,-0.11027769,0.23979601,-0.003743017,-0.05892178,0.205905751,-0.002921241,0.706078214,0.044639932,-0.241296603,-0.012189543
35,0.706871098,0.093114985,0.224348251,0.44213941,0.116029663,0.192355963,0.194258491,0.467242139,0.146241747,0.406274565,0.357019596,0.541390402,0.529467748,0.45046167,0.615509735
